Q1,Q2,Q3,Q4
90230,68634,60251,90395
51089,132444,54296,61133
64614,75456,52822,55448
58740,96966,65040,106543
66754,58376,97688,73574
66415,59025,47598,96966
89119,46309,73214,56516
54404,46309,56739,72469
42764,52503,75456,101741
77828,96847,75627,92340
45006,60620,77828,57212
56739,56367,82364,132444
60251,49492,63520,84377
62468,82512,47966,64648
61173,68634,54704,107589
103827,68634,72975,121795
61464,52158,72469,75332
102951,106555,56150,91416
51923,132444,75456,60228
46061,132444,53554,52298
49209,83576,39239,102589
84311,76599,54888,46309
112069,85704,102579,75341
56338,72721,72675,83363
95761,76509,75800,60251
76728,72721,76599,69375
57753,72721,83576,87084
60555,107589,72225,61133
111056,72721,86946,71880
72847,132444,83188,58248
68404,52309,66803,55674
73780,132444,69550,61843
76728,83576,52872,54831
80407,121795,72721,87084
75456,72721,75456,61638
72721,72721,60620,59339
106543,89696,52179,74530
52068,75341,55782,66560
108718,75456,58747,68404
52905,75456,50949,55820
47533,89696,79900,60251
121329,75332,55910,82323
55820,69687,49712,83576
84564,75336,75269,83576
52239,96966,69375,77375
50554,90395,75456,70130
61133,54991,44619,55628
58926,61429,58394,75843
52841,56708,57371,50753
65051,96354,90910,50753
63395,69375,62159,66449
54242,69375,80690,53113
61597,61219,65165,69455
55782,61767,56897,88341
50047,51073,47202,58394
107589,49780,46677,66560
54239,74142,59407,72469
90249,74142,52437,41036
76599,75843,58717,83576
62559,74142,90395,53054
75226,106543,64799,106543
61036,59918,69455,52309
62559,50659,52684,93587
47024,68652,102338,68652
87098,68652,72721,62165
39239,41604,62716,85419
61807,70161,90910,52659
48979,107971,121795,79941
69878,64522,92638,83576
50709,43618,64799,83576
47598,66501,88341,62159
102338,93007,72721,76483
96354,66501,151806,64839
91645,64090,76483,57907
65821,62159,65051,80690
80407,93007,60408,46309
59176,57963,60316,52414
61807,52503,75456,52503
63869,64648,79235,66501
42754,52503,71733,102951
47598,56272,58339,77795
56739,56272,56272,68835
75627,57668,151806,63846
67398,57668,75456,66501
60763,72469,79268,64319
61133,72469,54099,77828
45235,53439,54251,54351
56427,64799,106543,51996
65534,64799,105241,61791
77829,70980,56272,69375
58339,63846,41733,46309
49869,80690,80690,55462
65891,96847,52437,52503
57280,151806,72469,88341
70705,102589,78801,61807
66321,118986,61807,77828
68652,78491,41950,69827
82323,78779,105241,61807
59838,89119,57252,76483
106555,78779,75519,73168
60763,53505,52684,50949
64319,77828,49083,102338
102338,77828,65879,83576
45954,53505,66258,84377
60316,58407,64129,60251
56739,57247,77847,79235
41327,91070,77795,56148
74530,59758,68051,60143
63033,53505,63849,50707
67418,59643,56150,55951
68634,62765,47890,80539
40675,81928,60249,102338
50949,107589,102579,55951
60208,90395,72071,57279
60251,69375,60235,64319
54377,106851,89696,69687
60713,81257,63606,60251
50205,86436,75456,83576
52641,102338,52693,75456
60316,78779,83704,47598
