,fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,Brewery_Count,Brewpub_count,Micro_count,Contract_count,Regional_count,mhhibin,edbin
0,1001,AL,"Autauga County, AL",58233,27.7,32.53638,-86.64449,0,0,0,0,0,6,7
1,1003,AL,"Baldwin County, AL",59871,31.3,30.65922,-87.746067,3,0,2,0,0,6,7
2,1005,AL,"Barbour County, AL",35972,12.2,31.87067,-85.405456,0,0,0,0,0,1,1
3,1007,AL,"Bibb County, AL",47918,11.5,33.01589,-87.127148,0,0,0,0,0,3,1
4,1009,AL,"Blount County, AL",52902,12.6,33.97745,-86.567246,0,0,0,0,0,4,1
5,1011,AL,"Bullock County, AL",31906,13.3,32.10176,-85.717261,0,0,0,0,0,1,2
6,1013,AL,"Butler County, AL",39944,16.1,31.75167,-86.681969,0,0,0,0,0,1,3
7,1015,AL,"Calhoun County, AL",47747,18,33.77171,-85.822513,1,1,0,0,0,3,4
8,1017,AL,"Chambers County, AL",42015,13.2,32.91794,-85.391812,0,0,0,0,0,2,2
9,1019,AL,"Cherokee County, AL",45982,12.9,34.06952,-85.654242,0,0,0,0,0,2,2
10,1021,AL,"Chilton County, AL",49692,14.2,32.85406,-86.726628,0,0,0,0,0,3,2
11,1023,AL,"Choctaw County, AL",39808,13,31.99101,-88.248887,0,0,0,0,0,1,2
12,1025,AL,"Clarke County, AL",43822,12.6,31.68552,-87.818624,0,0,0,0,0,2,1
13,1027,AL,"Clay County, AL",40562,10.2,33.26781,-85.862051,0,0,0,0,0,1,1
14,1029,AL,"Cleburne County, AL",51276,13.7,33.67198,-85.516109,0,0,0,0,0,4,2
15,1031,AL,"Coffee County, AL",57299,23.4,31.40218,-85.989201,0,0,0,0,0,5,6
16,1033,AL,"Colbert County, AL",46683,18.7,34.70311,-87.801457,0,0,0,0,0,3,4
17,1035,AL,"Conecuh County, AL",41539,10.7,31.42829,-86.992029,0,0,0,0,0,1,1
18,1037,AL,"Coosa County, AL",42024,11.6,32.93145,-86.243482,0,0,0,0,0,2,1
19,1039,AL,"Covington County, AL",44836,14.9,31.24399,-86.448721,0,0,0,0,0,2,2
20,1041,AL,"Crenshaw County, AL",43309,15.6,31.73283,-86.319222,0,0,0,0,0,2,3
21,1043,AL,"Cullman County, AL",50897,13.7,34.13192,-86.869267,0,0,0,0,0,4,2
22,1045,AL,"Dale County, AL",45120,17,31.43065,-85.609476,0,0,0,0,0,2,3
23,1047,AL,"Dallas County, AL",34034,15.1,32.33354,-87.114356,0,0,0,0,0,1,3
24,1049,AL,"DeKalb County, AL",44277,12.7,34.46093,-85.803992,0,0,0,0,0,2,1
25,1051,AL,"Elmore County, AL",62310,24.5,32.59723,-86.142739,0,0,0,0,0,7,6
26,1053,AL,"Escambia County, AL",42712,12.7,31.12175,-87.168429,0,0,0,0,0,2,1
