Count of BreweryType,Column Labels,,,,,,,,,
Row Labels,bar,brewpub,closed,contract,large,micro,planning,proprietor,regional,Grand Total
1003,,,,,,2,1,,,3
1015,,1,,,,,,,,1
1055,,,,,,1,,,,1
1071,,,,,,,1,,,1
1073,,,,,,4,3,,,7
1077,,,,,,2,,,,2
1081,,,,,,1,,,,1
1089,,2,,,,7,1,,,10
1095,,,,,,1,,,,1
1097,,,,1,,1,2,,,4
1103,,,,,,1,,,,1
1117,,,,,,,1,,,1
1125,,,,,,3,,,,3
1127,,,,,,2,,,,2
2020,,3,,1,,5,2,,,11
2063,,,,,,,1,,,1
2090,,,,,,2,1,,,3
2100,,,,,,1,,,,1
2105,,,,,,1,,,,1
2110,,1,,,,1,,,1,3
2122,,1,,,,2,,,,3
2130,,,,,,,2,,,2
2150,,,,,,1,,,,1
2170,,1,,,,1,,,,2
2230,,1,,,,,,,,1
4003,,,,,,2,1,,,3
4005,,1,,,,3,,,,4
4013,,17,,3,1,11,10,,1,43
4015,,2,,,,4,,,,6
4017,,1,,,,,,,,1
4019,,1,,,,12,1,,,14
4025,,1,,,,2,2,,,5
4027,,1,,,,,1,,,2
5005,,,,,,2,,,,2
5007,,,,,,4,2,,,6
5015,,,,,,,1,,,1
5019,,,,,,1,,,,1
5051,,1,,,,,,,,1
5055,,1,,,,,,,,1
5119,,4,,,,6,,,,10
5131,,,,,,1,,,,1
5143,,5,,1,,2,1,,,9
6001,,8,,2,,18,5,,2,35
6005,,,,,,1,,,,1
6007,,2,,,,3,,,1,6
6009,,1,,,,,,,,1
6011,,,,,,,1,,,1
6013,,3,,1,,2,1,,,7
6015,,2,,,,,,,,2
6017,,6,,,,6,3,,,15
6019,,2,,,,6,3,1,,12
6023,,1,,,,4,1,,1,7
6025,,,,,,1,,,,1
6027,,,,,,2,,,,2
6029,,3,,,,,1,,,4
6031,,,,,,1,,,,1
6033,,1,,,,1,1,,,3
6035,,1,,,,,,,,1
6037,,21,,6,2,53,21,1,,104
6039,,1,,,,2,,,,3
6041,,5,,,,1,1,1,,8
6043,,,,,,1,,,,1
6045,,1,,1,,1,,,1,4
6051,,,,,,2,,,,2
6053,,1,,1,,,,,,2
6055,,8,,,,3,,1,,12
6057,,1,,,,2,,,,3
6059,,8,,,,19,10,,,37
6061,,4,,,,6,1,,,11
6065,,6,,,,7,3,,,16
6067,,5,,,,18,5,,,28
6069,,1,,,,1,,,,2
6071,,2,,,,8,2,,1,13
6073,,31,,2,5,67,10,1,9,125
6075,,16,,1,1,12,2,2,1,35
6077,,2,,,,4,,1,,7
6079,,5,,1,,8,2,,,16
6081,,4,,,,3,1,,,8
6083,,6,,,,5,2,,1,14
6085,,8,,5,,9,1,,2,25
6087,,3,,,,3,2,,,8
6089,,2,,,,1,,,,3
6093,,2,,,,2,,,,4
6095,,1,,1,1,3,2,1,,9
6097,,12,,,1,7,1,,2,23
6099,,,,,,2,,,,2
6101,,1,,,,,,,,1
6103,,1,,,,,,,,1
6107,,1,,,,1,,,,2
6111,,2,,,,7,4,,,13
6113,,,,,,8,,,,8
8001,,2,,1,,4,,,1,8
8003,,1,,,,2,,,,3
8005,,1,,,,6,,,,7
8007,,1,,,,,,,,1
8013,,13,,,,9,1,,3,26
8014,,,,,,2,,,,2
8015,,1,,,,2,,,,3
8019,,1,,,,2,,,,3
8029,,1,,,,1,,,,2
8031,,10,,3,3,40,2,1,2,61
8035,,2,,,,3,,,,5
8037,,1,,,,1,,,,2
8041,,7,,,,9,,,,16
8043,,1,,,,1,,,,2
8045,,2,,,,,,,,2
8047,,1,,,,,,,,1
8049,,1,,,,1,,,,2
8051,,2,,,,1,,,,3
8053,,1,,,,,,,,1
8059,,8,,2,1,8,1,,,20
8065,,1,,,,,,,,1
8067,,6,,,,,,,,6
8069,,5,,1,1,14,,,2,23
8071,,,,,,,1,,,1
8077,,5,,,,1,,,,6
8083,,4,,,,,,,,4
8085,,2,,,,1,,,,3
8091,,3,,,,1,,,,4
8093,,,,,,1,,,,1
8097,,,,,,1,,,,1
8101,,2,,,,1,,,,3
8105,,1,,,,,,,,1
8107,,2,,,,1,,,,3
8111,,2,,,,,,,,2
8113,,1,,,,,,,,1
8117,,3,,,1,3,,,,7
8119,,2,,,,1,,,,3
8123,,5,,,,6,,,,11
8125,,1,,,,,,,,1
9001,,3,,2,,5,,,1,11
9003,,2,,1,,9,,,,12
9005,,1,,,,,,,,1
9007,,,,,,1,,,,1
9009,,1,,1,,9,,,1,12
9011,,1,,,,3,,,,4
9013,,,,,,1,,,,1
9015,,2,,,,1,,,,3
10001,,1,,,,2,,,,3
10003,,4,,,,1,,,,5
10005,,5,,,,1,,,1,7
11001,,5,1,2,,7,,,1,16
12001,,,,,,4,,,,4
12003,,,,,,1,,,,1
12005,,1,,1,,,,,,2
12009,,1,,,,3,,,1,5
12011,,1,,1,,5,,1,,8
12017,,,,,,2,,,,2
12021,,,,,,1,,,,1
12023,,,,,,1,,,,1
12031,,6,,,1,7,,,,14
12033,,1,,,,3,,,,4
12035,,,,,,1,,,,1
12037,,,,,,1,,,,1
12053,,,,,,2,,,,2
12057,,5,,,,7,,,2,14
12061,,2,,,,1,,,,3
12069,,1,,,,1,,,,2
12071,,1,,,,3,,,,4
12073,,,,,,2,,,,2
12081,,1,,,,4,,,,5
12083,,,,,,1,,,,1
12086,,1,,1,1,7,,,,10
12087,,2,,,,2,,,,4
12089,,3,,,,,,,,3
12091,,,,,,1,,,,1
12095,,4,,,,7,,,,11
12099,,2,,,1,4,,1,,8
12101,,,,,,4,,1,,5
12103,,4,,1,,22,,,,27
12105,,,,,,2,,,,2
12109,,,,,,2,,,,2
12111,,,,,,3,,,,3
12113,,1,,,,,,,,1
12115,,2,,,,3,,,,5
12117,,2,,,,2,,,,4
12127,,,,,,3,,,,3
13021,,1,,,,,,1,,2
13045,,,,,,1,,,,1
13051,,1,,,,3,,,,4
13057,,,,,,2,,,,2
13059,,1,,,1,1,,,1,4
13067,,1,,,,5,,,,6
13077,,,,,,1,,,,1
13089,,1,,,,3,,,,4
13095,,,,,1,1,,,,2
13111,,,,,,2,,,,2
13115,,1,,,,,,,,1
13121,,8,,,,11,,,1,20
13135,,,,,,1,,,,1
13139,,,,,,1,,,,1
13151,,,,,,1,,,,1
13245,,,,,,2,,,,2
13285,,,,,,2,,,,2
13311,,1,,,,,,,,1
13313,,1,,,,,,,,1
15001,,,,,,1,,,1,2
15003,,5,,,,3,,,,8
15007,,1,,,,,,,,1
15009,,1,,,,1,,,1,3
16001,,1,,,1,7,,,,9
16005,,1,,,,1,,,,2
16013,,2,,,,,,,,2
16017,,,,,,2,,,,2
16019,,1,,,,1,,,,2
16021,,1,,,,,,,,1
16027,,,,,,1,,,,1
16049,,,,,,1,,,,1
16055,,,,,,4,,,,4
16057,,2,,,,,,,,2
16059,,1,,,,,,,,1
16079,,1,,,,1,,,,2
16081,,1,,,,,,,,1
16083,,2,,,,,,,,2
16085,,2,,,,,,,,2
17001,,1,,,,,,,,1
17019,,3,,,,2,,,,5
17021,,,,,,1,,,,1
17027,,,,,,1,,,,1
17031,,25,,3,2,31,,1,2,64
17037,,1,,,,,,,,1
17043,,6,,1,,3,,1,,11
17045,,,,,,1,,,,1
17049,,,,,,1,,,,1
