Q1,Q2,Q3,Q4
32,32,32.4,32
32,51.3,32.4,46
15.9,47.9,41.7,57.1
34.6,47.4,21.2,20.3
38.6,22.8,35.3,51.3
34.9,32.7,31.9,46.3
14.3,35,31.9,46.3
34.9,35,31.9,51.4
31.8,31.9,35.6,45.6
39.9,51.7,12.9,46.7
12,33.7,32,26.8
34.6,27.4,32,40.6
58.8,22.9,34.1,37.2
20.7,35.3,34.1,35.9
58.8,32,18.3,31.5
38.1,32,38.1,37.1
38.6,32.8,46,23.2
39.9,41.7,39.9,36.7
18.4,51.3,13.5,16
34.6,51.3,57.1,34.3
30.4,38.1,19.7,60.8
46,34.6,51.3,39.5
57.1,26.2,38.1,34.9
44.1,31.8,30.3,38.1
34,24.5,39.5,38.1
34.1,31.8,31.8,38.1
38.7,31.8,31.8,51.3
30,46,46,38.1
34.5,31.8,38.1,38.1
55.3,51.3,20.3,29.8
44.1,24.7,30.4,38.1
37.9,51.3,51.3,24.7
44.1,38.1,51.3,38.1
47.9,57.1,31.8,38.1
34,31.8,58.8,34.9
34.9,31.8,41.6,26.5
35.9,44.1,38.1,38.1
29.3,23.6,31.8,46
57.1,47.9,57.1,60.8
22.7,47.9,38.1,47.9
29.2,44.1,38.6,47.9
32.7,46.3,38.1,60.8
33.8,34.9,38.1,34.9
15.7,37.8,38.1,47.4
51.4,47.4,31.8,26.5
51.4,57.6,49.9,57.6
34.3,28.8,38.1,32.7
19,31.9,26.2,32.7
20.6,31,38.1,29.3
23.2,48.8,40,42.7
44.4,38,34.9,29.5
48.8,38,33.7,26.6
38,18.1,38.1,38
34,22,33.1,38
38,29.6,30.4,30.4
32.5,31.2,31.8,46
38,46.5,57.9,42.9
45,46.5,23.6,46.7
22.1,44.8,37.9,22.2
17.9,46.5,47.9,44.8
57.8,55.2,47.9,55.2
19.2,27.2,60.8,55.2
29.5,27.7,46.3,35.9
30.4,41.9,38.1,53
17.9,41.9,46.3,23.3
20.9,20,37.9,35.2
16.1,43.2,47.9,23.3
33,48.3,46.3,35.2
33,34.8,26.7,33.5
33,27.5,60.8,28.7
50.4,36.5,22,29.7
32.7,60.8,34.9,41.9
32.7,36.5,37.8,27.8
33.5,32.2,34.9,35
36.8,37.7,47.4,30.9
16.5,60.8,34.9,35
46.7,24,23.6,35
19,31.9,57.6,40.7
40.6,39.3,24.4,40.7
40.6,31.9,32.7,31.8
59,31.8,34.7,40.9
31.2,31.8,32.7,30.9
44.8,31.2,31,48.2
55.2,31.2,31,36.5
39.4,44.5,29.3,37.7
44.8,44.5,31,24.7
23.3,23.2,31.9,36.5
35.2,40.7,38.2,51.8
42.8,40.7,28.8,16.6
38.1,42.8,29.3,33.8
35.2,40.3,31.9,51.8
20.9,48.6,45.7,35.3
46.4,51.7,33.8,39.2
35.2,60.8,29.8,44.8
38.1,62.1,18.5,44.8
21.4,74.6,20.6,39.3
38.5,35.2,42.7,31.9
23.2,26.4,34.3,37.1
15.7,31.9,23.1,37.1
31.4,26.4,37.8,31.9
42.8,30.5,48.8,37.1
15.9,50.7,38,36.8
24.5,50.7,34,44.5
24.5,30.5,48.8,34.2
20.9,17.9,38,24.6
35.2,14.4,22.6,31.6
33.5,43.8,32.5,21
20.1,34.3,22.1,31.6
28.7,30.5,57.8,44.5
28.7,27.3,30.4,44.5
44,27.1,31.9,16.2
41.8,30.7,17.2,16.2
33.6,46,16.6,40.5
22.6,57.6,29.7,18.6
13.8,38,36.1,28.5
32.7,53,30.8,28.6
30.9,46.4,27.3,28.1
20.2,24.4,42.9,31.1
19,51.4,21.9,31.1
38.9,26.4,25.6,40.3
38.9,,36.8,48.6
22.1,,46.7,24.5
34.7,,27.1,30.7
22.3,,32.7,30.7
11.5,,35.6,48.6
37.3,,59,31.5
37.3,,33.4,27.1
44.9,,46.5,31
42.7,,55.2,34.5
35.1,,55.2,50.7
33.9,,53,36.3
15.9,,33.4,50.7
30,,38.1,50.7
35.6,,16.1,62.1
30.1,,38.1,38.5
23.1,,21.1,51.4
35.5,,55.2,51.4
35.6,,35.2,51.4
34.5,,46.4,32.2
33.7,,27.7,50.7
22.3,,27.7,32
37.7,,46.4,23
34.5,,41.9,50.7
23.8,,24.3,33.8
35.3,,29.7,23.6
41.6,,49.2,55.2
31.8,,49.2,49.2
25,,28.4,42.5
51.8,,41.9,33.9
25,,22.3,37.1
18.7,,30.9,29.6
47.5,,41.8,48.7
34.8,,26.1,50.7
39.3,,26,30.5
15,,32,23
31.9,,38.9,32
39.3,,38.8,
16.7,,30.5,
37.1,,30.5,
31.9,,35.6,
31.9,,37.3,
22.8,,31.5,
37.1,,31.9,
17.2,,37.5,
53.6,,37.5,
44.5,,27.4,
29.6,,33.9,
44.5,,33.9,
27.4,,33.9,
24.1,,23.6,
43.7,,31.8,
13.8,,24.7,
24.4,,23.9,
35.4,,27,
22.6,,37.7,
28.6,,33.7,
21,,29.8,
24.5,,19.8,
40.7,,20.9,
26.9,,34.5,
35.4,,33.7,
20.3,,37.7,
22.6,,30.1,
40.5,,35.6,
20.8,,22.3,
30.5,,35.5,
34.2,,47.5,
23.8,,25,
37.7,,44.8,
30.7,,39.3,
31.9,,20.5,
31.2,,24,
31.2,,21.9,
31.2,,39.2,
24.5,,44.8,
20.5,,16.8,
25.1,,31.2,
30.7,,26.3,
31.8,,35.1,
34.5,,31.9,
34.5,,27.4,
36.7,,37.1,
36.3,,26.2,
60.8,,32.1,
26.8,,22.8,
35.2,,22.8,
21.3,,39.3,
40,,29.8,
24.1,,37.1,
35.2,,32.1,
31.9,,12.5,
15.8,,31.2,
24.9,,31.2,
33,,26.5,
51.4,,44.5,
28.6,,44.5,
18.5,,24,
26.4,,29.6,
30,,44.5,
31.9,,26.9,
29.8,,36.8,
34.9,,44.5,
21.8,,24.6,
23,,44.5,
30.5,,16.6,
29.6,,27.4,
22,,34.2,
15.4,,40.7,
20.6,,22.6,
48.8,,40.7,
30.4,,16,
38,,40.7,
35.5,,29.2,
46.4,,35.8,
35.2,,40.7,
24.5,,28.5,
35.2,,26.9,
41.8,,45,
49,,37.7,
22.2,,23.6,
38.9,,24,
52,,32.4,
40.9,,31.1,
36.5,,17.1,
48.2,,25.4,
37.1,,36.7,
17.9,,40.3,
36.8,,44.5,
34.2,,30.7,
30.1,,35.3,
25,,27.6,
28.9,,18.3,
41.7,,37.4,
18,,51.7,
35.3,,37.4,
35.3,,30.7,
39.5,,27.5,
23.3,,30.7,
33.7,,46.1,
21.2,,40.3,
35.3,,34.5,
12.9,,50.7,
25.2,,35.2,
35.6,,56.7,
32,,29.7,
32,,60.8,
32,,61.1,
32,,52.6,
32,,36,
32,,52.6,
32,,38.5,
32,,33.9,
32,,29.8,
15.8,,26.1,
14.8,,28.9,
12.9,,26.4,
32,,51.4,
31.9,,51.4,
32,,29.8,
32,,31.9,
32,,51.4,
32.8,,30.4,
34.1,,31.9,
32.8,,31.9,
32.8,,16,
32.8,,28.6,
20.2,,17.5,
34.1,,18.3,
32.8,,24.8,
34.1,,17.8,
34.9,,29.6,
57.1,,33.7,
49.9,,32,
31.8,,23.2,
31.8,,28.7,
38.1,,33.7,
30.4,,30.5,
24.5,,46,
38.1,,30.5,
33.1,,57.6,
39.9,,37,
31.8,,46.5,
38.1,,44.1,
57.1,,34.9,
57.1,,22.1,
38.1,,17.9,
31.8,,20.5,
20.3,,27.7,
20.3,,35.2,
39.9,,18.8,
16.1,,12.4,
31.8,,24.9,
38.1,,32.6,
38.1,,35.3,
38.1,,26.3,
31.8,,27.2,
33.7,,18.6,
31.8,,17.8,
46,,40.7,
15.5,,40.7,
34.6,,26.9,
34.9,,14.2,
34.9,,40.3,
22.5,,24.5,
31.8,,30.7,
51.3,,60.8,
41.7,,52.6,
30.4,,51.4,
51.3,,21.8,
26.5,,17.7,
34.6,,31.3,
22.2,,30.3,
51.3,,23.9,
34.9,,21.7,
51.3,,30.3,
31.8,,31.3,
38.1,,32.4,
19.7,,32.4,
38.1,,41.7,
21.8,,41.7,
31.8,,19.2,
49.9,,41.7,
38.1,,34.1,
33.8,,41.7,
34.9,,41.7,
30.4,,22.9,
40,,23.9,
46,,41.7,
33.1,,11.6,
33.7,,11.6,
46,,35.3,
34.9,,23.3,
34.9,,35.3,
46,,37.4,
21.8,,32.6,
38.1,,23.4,
38.1,,26,
38.1,,35.3,
38.1,,35.3,
31.8,,32.6,
31.8,,23.3,
57.1,,32,
31.8,,31.9,
31.8,,12.9,
21.8,,12.9,
39.9,,31.9,
16.1,,31.9,
18.4,,32,
57.1,,31.9,
58.8,,12.9,
26.5,,32,
38.1,,25.2,
38.6,,31.9,
58.8,,35.6,
40,,32,
30.4,,35.6,
38.1,,23,
57.1,,32,
38.1,,25.2,
57.1,,31.9,
46,,31.9,
34.9,,32,
15.8,,32,
38.1,,32,
22.5,,32,
38.1,,23,
14.3,,32.4,
38.1,,32.4,
31.8,,34.1,
20.7,,34.1,
33.8,,32.8,
38.1,,32.8,
41.7,,19.7,
49.9,,34.1,
31.8,,18.3,
33.8,,32.4,
14.3,,34.1,
33.7,,27.6,
34.9,,23.4,
29.8,,38.1,
18.7,,34.9,
57.1,,38.6,
33.8,,20.7,
33.8,,31.8,
34.9,,34.6,
14.5,,31.8,
38.1,,21.8,
57.1,,46,
57.1,,51.3,
21.8,,46,
49.9,,38.1,
34.9,,46,
57.1,,31.8,
17.7,,20.3,
38.6,,39.9,
51.3,,31.8,
21.8,,34.6,
34.9,,57.1,
16.1,,38.1,
38.1,,38.1,
33.8,,31.8,
34.9,,38.1,
31.8,,30.4,
34.9,,30.4,
57.1,,41.6,
36.6,,39.9,
51.3,,30.6,
57.1,,38.1,
57.1,,57.1,
46,,26.2,
24.7,,41.6,
51.3,,49.9,
38.1,,31.8,
51.3,,39.9,
34.9,,39.9,
46,,21.8,
22.2,,20.3,
34.9,,31.8,
60.8,,31.8,
21.2,,26.5,
43.9,,39.9,
34.5,,38.1,
47.9,,51.3,
47.9,,31.8,
60.8,,57.1,
47.9,,18.4,
47.9,,39.9,
43.9,,30.4,
60.8,,46,
43.9,,21.8,
26.7,,31.8,
60.8,,40,
47.9,,31.8,
57.9,,38.1,
23.6,,38.1,
30,,38.1,
43.9,,21.8,
37.9,,34.6,
37.9,,39.9,
23.9,,26.1,
48.6,,38.1,
44.1,,30.4,
46.3,,49.9,
51,,46,
28.6,,38.1,
43.9,,38.1,
26.7,,20.3,
26.7,,38.1,
27.4,,31.8,
55.3,,34.6,
60.8,,41.6,
23.6,,16.9,
44.1,,41.7,
48.1,,31.8,
37.8,,40,
44.1,,26.5,
23.9,,33.7,
37.9,,31.8,
47.9,,21.8,
27.4,,38.1,
44.1,,22.5,
43.9,,39.9,
37.9,,38.1,
50.4,,38.1,
28.6,,26.5,
46.3,,57.1,
33.5,,36.6,
26.7,,33.8,
60.8,,31.8,
44.1,,18.4,
60.8,,30.4,
48.6,,31.8,
27.4,,20.7,
22,,46,
42.2,,46,
34,,38.1,
37.9,,29.8,
47.9,,31.8,
51,,51.3,
60.8,,57.1,
48.6,,34.9,
60.8,,31.8,
38.9,,31.8,
46.3,,46,
37.9,,38.1,
27.4,,20.7,
57.9,,14.5,
18.2,,18.4,
26.1,,46,
22,,38.1,
56.7,,38.1,
43.9,,33.8,
27.4,,46,
51,,38.1,
60.8,,30.6,
60.8,,14.3,
23.7,,15.8,
46.3,,38.1,
22.1,,30.4,
60.8,,31.8,
47.9,,20.3,
60.8,,38.1,
46.5,,38.1,
47.9,,33.1,
47.4,,39.9,
47.4,,38.1,
37.8,,39.9,
47.4,,31.8,
24.1,,31.8,
33.3,,38.1,
24.1,,57.1,
26.5,,38.6,
23.6,,31.8,
35.9,,31.8,
26.5,,34.9,
26.5,,29.8,
26.5,,33.1,
26.5,,37.8,
35.9,,38.1,
35.9,,38.1,
57.6,,38.1,
57.6,,38.1,
57.6,,38.1,
29.3,,38.6,
28.3,,38.1,
57.6,,31.8,
31.9,,18.4,
28.1,,22.5,
32.7,,26.1,
28.2,,31.8,
35.7,,31.8,
31,,26.2,
29.2,,39.9,
22.8,,30.4,
33.8,,30.4,
20.8,,20.3,
26.4,,38.1,
32.7,,38.1,
28.3,,38.1,
31,,39.9,
29.2,,31.8,
38.2,,31.8,
34.7,,36.6,
33.8,,30.4,
28.2,,33.7,
28.8,,41.7,
32.7,,46,
31,,38.6,
33.3,,33.7,
35.7,,33.7,
33.8,,57.1,
29.2,,34.6,
29.2,,34.9,
32.7,,31.8,
51.4,,38.1,
42.7,,30.4,
46.5,,31.8,
33.2,,38.1,
25.7,,33.8,
51.4,,38.1,
20.4,,38.1,
51.4,,51.3,
51.4,,33.1,
51.4,,20.3,
43.4,,38.1,
21.4,,39.9,
34.3,,14.5,
29.5,,20.3,
26.6,,30.4,
34.3,,46,
34.3,,30.4,
21.1,,34.9,
37.8,,20.7,
45.1,,30.4,
30.1,,31.8,
27.2,,16.9,
11.6,,51.3,
45.1,,31.8,
30.1,,38.1,
38.2,,14.5,
30.1,,34.9,
38.2,,34.6,
41.5,,31.8,
38,,33.1,
27.3,,38.1,
13.2,,21.8,
38,,51.3,
34,,57.1,
38,,34.9,
44.4,,57.1,
23.2,,31.8,
21,,39.9,
21,,21.8,
22.6,,31.8,
38,,20.3,
38,,38.1,
44.8,,41.6,
38,,31.8,
34.2,,41.6,
38,,33.8,
38,,46,
31.4,,31.8,
22.6,,29.8,
38,,38.1,
22.6,,38.1,
26.4,,38.1,
48.8,,41.6,
38,,30.4,
45,,20.7,
38,,38.1,
38,,34.6,
22.6,,34.9,
45,,57.1,
48.8,,33.1,
38,,31.8,
30.4,,38.1,
24.8,,33.1,
38,,38.1,
38,,38.1,
22.6,,22.2,
22.6,,31.8,
38,,41.6,
38,,31.8,
38,,20.7,
11.7,,31.8,
17.9,,57.9,
15.9,,51,
33.1,,63.1,
30.4,,26.7,
30.4,,44.1,
36.3,,46.3,
45.6,,47.9,
22.1,,48.1,
30.4,,60.8,
20.6,,60.8,
29.2,,44.1,
57.8,,37.9,
57.8,,46.3,
45.6,,50.4,
19.2,,47.9,
57.8,,47.9,
28.2,,46.3,
21.2,,26.1,
28.2,,37.9,
37.7,,27.4,
26.3,,26.7,
48.3,,46.3,
22.1,,47.9,
18.2,,47.9,
16.9,,47.9,
22.1,,44.1,
30.4,,47.9,
22.2,,47.9,
29.2,,42.2,
22.1,,37.9,
30.4,,33.5,
24.5,,33.5,
45.6,,60.8,
30.4,,47.9,
30.4,,46.3,
22.1,,47.9,
32.3,,47.9,
30.5,,37.9,
16.6,,18.2,
49.4,,37.9,
20.5,,47.9,
53,,47.9,
53,,44.1,
30.5,,46.5,
21.3,,26.7,
36.1,,51,
31.9,,47.9,
36.1,,26.7,
31.9,,55.3,
21.5,,47.9,
28.6,,44.1,
15.7,,47.9,
19.1,,42.2,
51.1,,47.9,
20.5,,57.9,
53,,47.9,
17.7,,37.9,
28.6,,46.3,
28.6,,46.3,
15.7,,30.2,
15.5,,46.3,
50.4,,47.9,
30.9,,23.6,
18.4,,44.1,
30.8,,47.9,
26.2,,60.8,
55.3,,47.9,
17.4,,47.9,
55.3,,48.6,
31.7,,51,
30.9,,21.2,
50.4,,34,
30.9,,23.6,
46,,23.6,
30.9,,42.2,
32.7,,47.9,
32.7,,47.9,
42.9,,47.9,
42.9,,47.9,
32.7,,46.3,
24.6,,42.2,
30.6,,47.9,
12.1,,47.9,
36.8,,26.1,
33.5,,60.8,
15.8,,42.2,
27.1,,47.9,
32.3,,47.9,
27.1,,46.5,
46.7,,23.9,
27.1,,42.2,
22.2,,46.3,
32.3,,26.7,
27.1,,44.1,
29.6,,37.9,
18.9,,60.8,
27.1,,60.8,
31,,55.5,
31.4,,47.9,
27.1,,47.9,
19,,47.4,
27.1,,34.9,
31.2,,24.1,
31.2,,37.8,
40.9,,41.2,
30.4,,33.3,
31.2,,33.3,
59,,47.4,
61.4,,47.4,
26.8,,37.8,
61.4,,37.8,
35.6,,37.8,
30.4,,34.9,
31.2,,47.4,
59,,34.9,
31.1,,37.8,
46.5,,34.9,
44.2,,37.8,
35.9,,34.9,
39.4,,41.5,
39.4,,37.8,
44.8,,37.8,
44.8,,26.5,
35.9,,23.6,
