Q1,Q2,Q3,Q4
68634,68634,54127,68634
68634,132444,54127,107589
47098,75456,68609,121795
76599,96966,75856,67398
97688,58376,82512,132444
87084,59025,56150,75332
56776,46309,56150,75332
87084,46309,56150,79235
72721,52503,58301,53113
95761,96847,49712,75254
53613,60620,68634,54351
76599,56367,68634,102951
112069,49492,52684,60143
56926,82512,52684,77795
112069,68634,41950,55628
83576,68634,83576,60251
97688,52158,107589,53439
95761,106555,95761,73574
68458,132444,57297,55674
76599,132444,121795,59758
71891,83576,84209,88341
107589,76599,132444,85419
121795,85704,83576,87084
89696,72721,52307,83576
70599,76509,85419,83576
52684,72721,72721,83576
74806,72721,72721,132444
73788,107589,107589,83576
50524,72721,83576,83576
60408,132444,67398,51134
89696,52309,71891,83576
72675,132444,132444,52309
89696,83576,132444,83576
75456,121795,72721,83576
70599,72721,112069,87084
69687,72721,70951,58394
76076,89696,83576,83576
57582,75341,72721,107589
121795,75456,121795,88341
57660,75456,83576,75456
58339,89696,97688,75456
61133,75332,83576,88341
63133,69687,83576,69687
53115,75336,83576,96966
79235,96966,72721,64839
79235,90395,135234,90395
86946,54991,83576,61133
50709,61429,85704,61133
56141,56708,83576,57582
57772,96354,85770,41036
53485,69375,87084,64929
96354,69375,86202,77375
69375,61219,83576,69375
90249,61767,91446,69375
69375,51073,71891,50707
90904,49780,72721,51996
69375,74142,123697,58981
92638,74142,75341,75254
57280,75843,72675,58958
56427,74142,75456,75843
107710,106543,75456,106543
55782,59918,88341,106543
64614,50659,75332,77795
50707,68652,83576,106851
56427,68652,75332,50753
59441,41604,72675,66560
64098,70161,75456,50753
64783,107971,75332,66560
64783,64522,78160,69827
64783,43618,88341,60228
62559,66501,51075,83363
59025,93007,69687,68652
59025,66501,75336,66449
66520,64090,69687,46309
45092,62159,96966,57907
45333,93007,69687,46309
75254,57963,58804,46309
50344,52503,90395,91416
102951,64648,62831,91416
102951,52503,61133,73168
110012,56272,66258,61791
49780,56272,61133,52414
75843,57668,56708,101741
106543,57668,56708,66501
83253,72469,57582,62159
75843,72469,56708,56516
50753,53439,61429,66501
66560,64799,69954,84377
72888,64799,54991,47890
56739,70980,64151,53054
66560,63846,61429,84377
58733,80690,55081,55820
81257,96847,63133,55448
66560,151806,79232,69455
56739,102589,47296,69455
56001,118986,59193,64648
54704,78491,41036,52503
49869,78779,86946,60251
54024,89119,56729,60251
72666,78779,72295,52503
72888,53505,96354,60251
51772,77828,69375,80539
65051,77828,90249,72469
65051,53505,96354,71880
55466,58407,69375,59339
66560,57247,59510,68835
69827,91070,90904,52298
67703,59758,57280,68835
60228,53505,107710,72469
60228,59643,50707,72469
80631,62765,65724,55951
89075,81928,53223,55951
60408,107589,70091,93587
63395,90395,65482,55462
41327,69375,67331,59407
70705,106851,59451,47598
57907,81257,49840,62165
43669,86436,58981,52659
69095,102338,53050,52659
67264,78779,54080,63846
67264,,45092,80690
60924,,75254,54831
64759,,50702,61807
58126,,85357,61807
48490,,101810,80690
82862,,110012,70130
82862,,58805,68404
102579,,74142,61638
92770,,106543,79941
79953,,106543,76483
56148,,106851,61843
63671,,58805,76483
71118,,56739,76483
105241,,59582,102589
70688,,56739,50949
53167,,48471,102338
61597,,76728,102338
105241,,66560,102338
66754,,81257,79268
60620,,50659,77828
52215,,50659,58248
62159,,81257,64319
66754,,68652,77828
56371,,60384,74530
55820,,83363,75341
51630,,82323,106543
61651,,82323,82323
46599,,91374,57279
84377,,68652,56148
46599,,49619,60251
52051,,57907,57212
65541,,84456,92340
86138,,43946,77828
64648,,51732,53505
54239,,57585,64319
52503,,67264,58248
64648,,61383,
67075,,71733,
60251,,71733,
52503,,75800,
52503,,82862,
55623,,66565,
60251,,87996,
48940,,88443,
69148,,88443,
72469,,62678,
57212,,56148,
72469,,56148,
56367,,56148,
52276,,51742,
85665,,72721,
42019,,56516,
63012,,58400,
72576,,61713,
54099,,62159,
47598,,60620,
62699,,83188,
67418,,41470,
64799,,51064,
67515,,66754,
72576,,60620,
61560,,62159,
54099,,70688,
93587,,105241,
49741,,58055,
60763,,61597,
64399,,65541,
55588,,46599,
52905,,69455,
58919,,57252,
63162,,51245,
57802,,57963,
57802,,53688,
57802,,55448,
54465,,69455,
57439,,48637,
62827,,72071,
61807,,68051,
72721,,73565,
79941,,52503,
79941,,54704,
73574,,60251,
61843,,66321,
151806,,57753,
55816,,55623,
78491,,55623,
50411,,64648,
85770,,68611,
37678,,60251,
78491,,57753,
89119,,49679,
59346,,57668,
56338,,57668,
72173,,71815,
102338,,72469,
60202,,72469,
55000,,51267,
78779,,57212,
72847,,72469,
89119,,67515,
80407,,80539,
87084,,72469,
49209,,59339,
64319,,72469,
53505,,58739,
65494,,56367,
80639,,71880,
70756,,64799,
56141,,54099,
96354,,64799,
57717,,47967,
69375,,64799,
65841,,73780,
81257,,75269,
66560,,64799,
65051,,59407,
66560,,67515,
89075,,86450,
73731,,52905,
62804,,53648,
67264,,59368,
117275,,51879,
61791,,52659,
66501,,43159,
101741,,49083,
60251,,60316,
49504,,63846,
80539,,90910,
71880,,61807,
62059,,87976,
63665,,58956,
66591,,48650,
68609,,72890,
47747,,96847,
82512,,72890,
82512,,61807,
85419,,78801,
68625,,61807,
74898,,101361,
75856,,105763,
82512,,79941,
49712,,76483,
54242,,78491,
58301,,56569,
68634,,84405,
68634,,151806,
68634,,127898,
68634,,58717,
68634,,48189,
68634,,58717,
68634,,50949,
68634,,68656,
68634,,80407,
40676,,57571,
47024,,60567,
49712,,78779,
68634,,102338,
56150,,102338,
68634,,80407,
68634,,89119,
68634,,102338,
52158,,59976,
52684,,89119,
52158,,89119,
52158,,55674,
52158,,60202,
45786,,47222,
52684,,45386,
52158,,71098,
52684,,51919,
87084,,65494,
121795,,87098,
135234,,58248,
72721,,69219,
72721,,80354,
83576,,87098,
71891,,53505,
76509,,107589,
83576,,53505,
91446,,90395,
95761,,88635,
72721,,79622,
83576,,89696,
121795,,69687,
121795,,57280,
