,fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,Brewery_Count
0,1001,AL,"Autauga County, AL",58233.0,27.7,32.53638,-86.64449,0.0
1,1003,AL,"Baldwin County, AL",59871.0,31.3,30.65922,-87.74606700000001,3.0
2,1005,AL,"Barbour County, AL",35972.0,12.2,31.87067,-85.405456,0.0
3,1007,AL,"Bibb County, AL",47918.0,11.5,33.01589,-87.12714799999999,0.0
4,1009,AL,"Blount County, AL",52902.0,12.6,33.97745,-86.567246,0.0
5,1011,AL,"Bullock County, AL",31906.0,13.3,32.10176,-85.717261,0.0
6,1013,AL,"Butler County, AL",39944.0,16.1,31.75167,-86.681969,0.0
7,1015,AL,"Calhoun County, AL",47747.0,18.0,33.77171,-85.822513,1.0
8,1017,AL,"Chambers County, AL",42015.0,13.2,32.91794,-85.391812,0.0
9,1019,AL,"Cherokee County, AL",45982.0,12.9,34.069520000000004,-85.65424200000001,0.0
10,1021,AL,"Chilton County, AL",49692.0,14.2,32.85406,-86.726628,0.0
11,1023,AL,"Choctaw County, AL",39808.0,13.0,31.99101,-88.248887,0.0
12,1025,AL,"Clarke County, AL",43822.0,12.6,31.68552,-87.818624,0.0
13,1027,AL,"Clay County, AL",40562.0,10.2,33.26781,-85.862051,0.0
14,1029,AL,"Cleburne County, AL",51276.0,13.7,33.67198,-85.516109,0.0
15,1031,AL,"Coffee County, AL",57299.0,23.4,31.402179999999998,-85.989201,0.0
16,1033,AL,"Colbert County, AL",46683.0,18.7,34.703109999999995,-87.801457,0.0
17,1035,AL,"Conecuh County, AL",41539.0,10.7,31.428290000000004,-86.992029,0.0
18,1037,AL,"Coosa County, AL",42024.0,11.6,32.93145,-86.243482,0.0
19,1039,AL,"Covington County, AL",44836.0,14.9,31.243990000000004,-86.44872099999999,0.0
20,1041,AL,"Crenshaw County, AL",43309.0,15.6,31.73283,-86.319222,0.0
21,1043,AL,"Cullman County, AL",50897.0,13.7,34.13192,-86.86926700000001,0.0
22,1045,AL,"Dale County, AL",45120.0,17.0,31.43065,-85.609476,0.0
23,1047,AL,"Dallas County, AL",34034.0,15.1,32.33354,-87.114356,0.0
24,1049,AL,"DeKalb County, AL",44277.0,12.7,34.46093,-85.80399200000001,0.0
25,1051,AL,"Elmore County, AL",62310.0,24.5,32.597229999999996,-86.142739,0.0
26,1053,AL,"Escambia County, AL",42712.0,12.7,31.12175,-87.168429,0.0
27,1055,AL,"Etowah County, AL",43047.0,17.7,34.04764,-86.03442,1.0
28,1057,AL,"Fayette County, AL",44212.0,12.9,33.73225,-87.752049,0.0
29,1059,AL,"Franklin County, AL",44874.0,12.9,34.441990000000004,-87.842815,0.0
30,1061,AL,"Geneva County, AL",43089.0,11.1,31.090870000000002,-85.82434599999999,0.0
31,1063,AL,"Greene County, AL",28699.0,10.1,32.8445,-87.964201,0.0
32,1065,AL,"Hale County, AL",40745.0,14.1,32.7528,-87.62306099999999,0.0
