,BreweryName,BreweryType,Latitude,Longitude,County,State
0,Avondale Brewing Co,micro,33.524521,-86.774322,Jefferson,AL
1,Trim Tab Brewing,micro,33.5128492349817,-86.7914000624146,Jefferson,AL
2,Yellowhammer Brewery,micro,34.7277523,-86.5932014,Madison,AL
3,Bearpaw River Brewing Co,micro,61.5752695,-149.4127103,Matanuska-Susitna,AK
4,King Street Brewing Co,micro,61.1384893547315,-149.879076042937,Anchorage,AK
5,1912 Brewing,micro,32.2467372722906,-110.992750525872,Pima,AZ
6,Bad Water Brewing,contract,33.4972615652174,-111.924474347826,Maricopa,AZ
7,BJs Restaurant & Brewery - Chandler,brewpub,33.3053455,-111.911126,Maricopa,AZ
8,BlackRock Brewers,micro,32.201608314954,-110.821778571134,Pima,AZ
9,Dragoon Brewing Co,micro,32.2504946147872,-111.005452051979,Pima,AZ
10,Grand Canyon Brewing Company,micro,35.2500282,-112.1892168,Coconino,AZ
11,Mudshark Brewing Co,micro,34.4689736300844,-114.342433477881,Mohave,AZ
12,Richter Aleworks,micro,33.6687744976834,-112.238054093359,Maricopa,AZ
13,SanTan Brewing Co,regional,33.3032436,-111.8423459,Maricopa,AZ
14,State 48 Brewery,brewpub,33.63822125,-112.357813820157,Maricopa,AZ
15,Wren House Brewing Company,micro,33.516633,-112.0301125,Maricopa,AZ
16,Brick Oven Pizza Co / Brick & Forge Brewing,brewpub,36.0316358142169,-90.5204797204622,Greene,AR
17,Diamond Bear Brewing Co,micro,34.7594277548278,-92.2726892120821,Pulaski,AR
18,Lost Forty Brewing,micro,34.742845,-92.260019,Pulaski,AR
19,Rapp's Barren Brewing Company,micro,36.3326432,-92.3599724,Baxter,AR
20,Whistleing Springs Brewing Company / Dark Hills Brewery,planning,36.2553543,-94.1307587,Benton,AR
21,7 Sisters Brewing Co,brewpub,35.2467277959184,-120.670637530612,San Luis Obispo,CA
22,Abnormal Beer Company,micro,33.02391,-117.08575,San Diego,CA
23,Altamont Beer Works,micro,37.6783911404914,-121.721097428074,Alameda,CA
24,Auburn Alehouse,brewpub,38.8961210674875,-121.078958250811,Placer,CA
25,Back Street Brewery & Tasting Room,micro,33.7998367777778,-117.896089444444,Orange,CA
26,Bear Republic Brewing Co Pub & Restaurant - Lakeside,brewpub,38.3649703,-122.7101405,Sonoma,CA
27,Bird Street Brewing,micro,36.3014675555556,-119.784711,Kings,CA
28,Black Hammer Brewing,micro,37.780655,-122.3969947,San Francisco,CA
29,Brewbakers Brewing Co,brewpub,36.3300786,-119.2906961,Tulare,CA
30,Brewery in Planning - Los Angeles,planning,34.0536834,-118.2427669,Los Angeles,CA
31,Brewery in Planning - San Diego,planning,32.7174209,-117.1627714,San Diego,CA
