fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18
01001,AL,"Autauga County, AL","58,233",27.7
01003,AL,"Baldwin County, AL","59,871",31.3
01005,AL,"Barbour County, AL","35,972",12.2
01007,AL,"Bibb County, AL","47,918",11.5
01009,AL,"Blount County, AL","52,902",12.6
01011,AL,"Bullock County, AL","31,906",13.3
01013,AL,"Butler County, AL","39,944",16.1
01015,AL,"Calhoun County, AL","47,747",18
01017,AL,"Chambers County, AL","42,015",13.2
01019,AL,"Cherokee County, AL","45,982",12.9
01021,AL,"Chilton County, AL","49,692",14.2
01023,AL,"Choctaw County, AL","39,808",13
01025,AL,"Clarke County, AL","43,822",12.6
01027,AL,"Clay County, AL","40,562",10.2
01029,AL,"Cleburne County, AL","51,276",13.7
01031,AL,"Coffee County, AL","57,299",23.4
01033,AL,"Colbert County, AL","46,683",18.7
01035,AL,"Conecuh County, AL","41,539",10.7
01037,AL,"Coosa County, AL","42,024",11.6
01039,AL,"Covington County, AL","44,836",14.9
01041,AL,"Crenshaw County, AL","43,309",15.6
01043,AL,"Cullman County, AL","50,897",13.7
01045,AL,"Dale County, AL","45,120",17
01047,AL,"Dallas County, AL","34,034",15.1
01049,AL,"DeKalb County, AL","44,277",12.7
01051,AL,"Elmore County, AL","62,310",24.5
01053,AL,"Escambia County, AL","42,712",12.7
01055,AL,"Etowah County, AL","43,047",17.7
01057,AL,"Fayette County, AL","44,212",12.9
01059,AL,"Franklin County, AL","44,874",12.9
01061,AL,"Geneva County, AL","43,089",11.1
01063,AL,"Greene County, AL","28,699",10.1
01065,AL,"Hale County, AL","40,745",14.1
01067,AL,"Henry County, AL","48,597",18
01069,AL,"Houston County, AL","50,138",21
01071,AL,"Jackson County, AL","44,322",14.2
01073,AL,"Jefferson County, AL","54,127",32.4
01075,AL,"Lamar County, AL","42,686",12.5
01077,AL,"Lauderdale County, AL","48,188",23.9
01079,AL,"Lawrence County, AL","47,797",11.7
01081,AL,"Lee County, AL","54,160",34.1
01083,AL,"Limestone County, AL","64,729",25.5
01085,AL,"Lowndes County, AL","33,930",14.1
01087,AL,"Macon County, AL","34,281",20.7
01089,AL,"Madison County, AL","68,609",41.7
01091,AL,"Marengo County, AL","38,838",15.4
01093,AL,"Marion County, AL","44,675",13.1
01095,AL,"Marshall County, AL","48,913",19.2
01097,AL,"Mobile County, AL","49,492",22.9
01099,AL,"Monroe County, AL","40,005",14.1
01101,AL,"Montgomery County, AL","52,711",32.1
01103,AL,"Morgan County, AL","54,355",21.7
01105,AL,"Perry County, AL","29,572",15.7
01107,AL,"Pickens County, AL","40,249",13.5
01109,AL,"Pike County, AL","41,271",23.6
01111,AL,"Randolph County, AL","42,922",14.9
01113,AL,"Russell County, AL","43,670",16.5
01115,AL,"St. Clair County, AL","65,403",16.5
01117,AL,"Shelby County, AL","77,801",42.1
01119,AL,"Sumter County, AL","29,209",21.8
01121,AL,"Talladega County, AL","47,719",14.3
01123,AL,"Tallapoosa County, AL","47,100",18.3
01125,AL,"Tuscaloosa County, AL","52,307",30.3
01127,AL,"Walker County, AL","45,991",11.6
01129,AL,"Washington County, AL","48,864",11.1
01131,AL,"Wilcox County, AL","30,998",12.5
01133,AL,"Winston County, AL","40,827",13.5
02013,AK,"Aleutians East Borough, AK","66,923",12.7
02016,AK,"Aleutians West Census Area, AK","84,726",16.4
02020,AK,"Anchorage Borough/municipality, AK","82,512",35.3
02050,AK,"Bethel Census Area, AK","48,262",12.3
02060,AK,"Bristol Bay Borough, AK","87,950",22.3
02068,AK,"Denali Borough, AK","78,434",43.5
02070,AK,"Dillingham Census Area, AK","57,436",19.3
02090,AK,"Fairbanks North Star Borough, AK","74,076",32.6
02100,AK,"Haines Borough, AK","62,548",37.4
02105,AK,"Hoonah-Angoon Census Area, AK","53,141",23.4
02110,AK,"Juneau Borough/city, AK","85,419",39.5
02122,AK,"Kenai Peninsula Borough, AK","68,625",23.3
02130,AK,"Ketchikan Gateway Borough, AK","75,706",24.5
02150,AK,"Kodiak Island Borough, AK","79,669",26
02158,AK,"Kusilvak Census Area, AK","35,369",4.8
02164,AK,"Lake and Peninsula Borough, AK","51,693",15.8
02170,AK,"Matanuska-Susitna Borough, AK","75,856",21.2
02180,AK,"Nome Census Area, AK","58,464",14.6
02185,AK,"North Slope Borough, AK","84,784",16.6
02188,AK,"Northwest Arctic Borough, AK","61,660",11.7
02195,AK,"Petersburg Borough, AK","71,296",27.6
02198,AK,"Prince of Wales-Hyder Census Area, AK","50,049",17.6
02220,AK,"Sitka Borough/city, AK","80,660",32.6
02230,AK,"Skagway Municipality, AK","74,898",33.7
02240,AK,"Southeast Fairbanks Census Area, AK","69,646",19.1
02261,AK,"Valdez-Cordova Census Area, AK","74,574",30.6
02275,AK,"Wrangell Borough/city, AK","62,496",20.7
02282,AK,"Yakutat Borough/city, AK","61,587",20
02290,AK,"Yukon-Koyukuk Census Area, AK","42,063",13.4
04001,AZ,"Apache County, AZ","35,386",11.7
04003,AZ,"Cochise County, AZ","48,650",23
04005,AZ,"Coconino County, AZ","58,301",35.6
04007,AZ,"Gila County, AZ","45,980",18.5
04009,AZ,"Graham County, AZ","50,685",15.3
04011,AZ,"Greenlee County, AZ","68,066",11.9
04012,AZ,"La Paz County, AZ","39,407",12.4
04013,AZ,"Maricopa County, AZ","68,634",32
04015,AZ,"Mohave County, AZ","49,712",12.9
04017,AZ,"Navajo County, AZ","40,676",15.8
04019,AZ,"Pima County, AZ","56,150",31.9
04021,AZ,"Pinal County, AZ","62,067",19
04023,AZ,"Santa Cruz County, AZ","47,779",21
04025,AZ,"Yavapai County, AZ","54,242",25.2
04027,AZ,"Yuma County, AZ","47,024",14.8
05001,AR,"Arkansas County, AR","52,539",15.5
05003,AR,"Ashley County, AR","47,744",13.2
05005,AR,"Baxter County, AR","41,950",18.3
05007,AR,"Benton County, AR","70,775",32.4
05009,AR,"Boone County, AR","50,083",16
05011,AR,"Bradley County, AR","39,982",15.2
05013,AR,"Calhoun County, AR","48,415",12.1
05015,AR,"Carroll County, AR","43,841",20.4
05017,AR,"Chicot County, AR","37,014",14.7
05019,AR,"Clark County, AR","44,105",27.6
05021,AR,"Clay County, AR","40,686",11.6
05023,AR,"Cleburne County, AR","46,214",14.9
05025,AR,"Cleveland County, AR","53,773",16.2
05027,AR,"Columbia County, AR","42,964",20.6
05029,AR,"Conway County, AR","46,924",16
05031,AR,"Craighead County, AR","47,766",26.3
05033,AR,"Crawford County, AR","44,600",15.3
05035,AR,"Crittenden County, AR","41,976",18
05037,AR,"Cross County, AR","45,273",15.4
05039,AR,"Dallas County, AR","41,314",13.7
05041,AR,"Desha County, AR","37,005",12.4
05043,AR,"Drew County, AR","44,162",20.6
05045,AR,"Faulkner County, AR","58,482",30
05047,AR,"Franklin County, AR","45,670",11.8
05049,AR,"Fulton County, AR","32,926",11.8
05051,AR,"Garland County, AR","45,786",20.2
05053,AR,"Grant County, AR","58,566",18.3
05055,AR,"Greene County, AR","47,098",15.9
05057,AR,"Hempstead County, AR","40,867",15.1
05059,AR,"Hot Spring County, AR","45,860",14.7
05061,AR,"Howard County, AR","41,427",14.7
05063,AR,"Independence County, AR","47,903",18.9
05065,AR,"Izard County, AR","40,233",13.8
05067,AR,"Jackson County, AR","38,636",10.2
05069,AR,"Jefferson County, AR","40,555",17.8
05071,AR,"Johnson County, AR","40,396",15.8
05073,AR,"Lafayette County, AR","37,164",16.5
05075,AR,"Lawrence County, AR","39,604",15
05077,AR,"Lee County, AR","30,421",8.9
05079,AR,"Lincoln County, AR","44,272",8.9
05081,AR,"Little River County, AR","43,257",11.4
05083,AR,"Logan County, AR","42,249",12.1
05085,AR,"Lonoke County, AR","62,782",20.3
05087,AR,"Madison County, AR","48,016",12.5
05089,AR,"Marion County, AR","38,760",17.2
05091,AR,"Miller County, AR","50,905",16.6
05093,AR,"Mississippi County, AR","39,990",12.8
05095,AR,"Monroe County, AR","34,289",10.5
05097,AR,"Montgomery County, AR","39,591",10.8
05099,AR,"Nevada County, AR","36,528",15.4
05101,AR,"Newton County, AR","37,648",16.2
05103,AR,"Ouachita County, AR","46,393",16
05105,AR,"Perry County, AR","50,560",11.9
05107,AR,"Phillips County, AR","31,521",14
05109,AR,"Pike County, AR","44,426",14.7
05111,AR,"Poinsett County, AR","40,536",10.1
05113,AR,"Polk County, AR","39,722",13.3
05115,AR,"Pope County, AR","47,519",22
05117,AR,"Prairie County, AR","46,205",15.1
05119,AR,"Pulaski County, AR","52,684",34.1
05121,AR,"Randolph County, AR","42,875",14
05123,AR,"St. Francis County, AR","34,389",10.6
05125,AR,"Saline County, AR","66,944",26.1
05127,AR,"Scott County, AR","38,065",9.1
05129,AR,"Searcy County, AR","34,712",12.5
05131,AR,"Sebastian County, AR","48,945",19.7
05133,AR,"Sevier County, AR","43,493",11.5
05135,AR,"Sharp County, AR","37,591",11.3
05137,AR,"Stone County, AR","36,930",12.8
05139,AR,"Union County, AR","46,602",20.8
05141,AR,"Van Buren County, AR","38,096",14.1
05143,AR,"Washington County, AR","52,158",32.8
05145,AR,"White County, AR","46,388",21.4
05147,AR,"Woodruff County, AR","36,568",12
05149,AR,"Yell County, AR","44,469",13.5
06001,CA,"Alameda County, CA","107,589",46
